id,name,color,rarity,type,target,cost,overall_coverage_status,mechanism_categories,covered_categories,partial_categories,gap_categories,keywords,semanticTags,semanticSignals,internal_source_profile,description,upgrade_descriptions,coverage_notes
CARD.MAUL,撕咬,colorless,Ancient,Attack,AnyEnemy,1,covered,damage|multi_hit_or_aoe,damage|multi_hit_or_aoe,,,,damage|multi_hit,"{""damage"": 5, ""hits"": 2}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""maul"", ""class_name"": ""Maul"", ""commands"": [""Attack""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""DamageVar"", ""DynamicVar""], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Maul.cs"", ""tags"": [""attack"", ""damage"", ""multi_hit"", ""single_target""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","造成5点伤害两次。
在这场战斗中，将所有“撕咬”牌的伤害增加1。","[{""upgrade"": 1, ""description"": ""造成6点伤害两次。\n在这场战斗中，将所有“撕咬”牌的伤害增加2。"", ""semanticTags"": [""damage"", ""multi_hit""], ""semanticSignals"": {""damage"": 6, ""hits"": 2}}]",
CARD.NEOWS_FURY,涅奥之怒,colorless,Ancient,Attack,AnyEnemy,1,gap,add_or_generate_card|damage|discard_pile_dependency|draw|effect_profile_granularity_gap|exhaust_self|pile_fetch_reorder|random_or_choose|whole_hand_state,damage|draw|exhaust_self,add_or_generate_card|discard_pile_dependency|pile_fetch_reorder|random_or_choose|whole_hand_state,effect_profile_granularity_gap,Exhaust,add_to_hand|damage|exhaust_self|random,"{""damage"": 10}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""neows_fury"", ""class_name"": ""NeowsFury"", ""commands"": [""Add"", ""Attack""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""CardsVar"", ""DamageVar"", ""DynamicVar""], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/NeowsFury.cs"", ""tags"": [""attack"", ""damage"", ""draw"", ""exhaust"", ""single_target""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": true, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": true, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","造成10点伤害。
将你弃牌堆中的2张随机牌放入你的手牌。
消耗。","[{""upgrade"": 1, ""description"": ""造成14点伤害。\n将你弃牌堆中的3张随机牌放入你的手牌。\n消耗。"", ""semanticTags"": [""add_to_hand"", ""damage"", ""exhaust_self"", ""random""], ""semanticSignals"": {""damage"": 14}}]",add_or_generate_card: 生成牌/加手牌可由 AddGeneratedCardToCombat 等内部命令定位，但生成池、费用和本回合免费等还需要更强 typed profile。 || discard_pile_dependency: 弃牌堆取回/置顶可由注意力学，但缺显式 action->pile delta。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || pile_fetch_reorder: 抽牌堆/弃牌堆/牌堆顶部信息可被注意力看到，也能从 PileType/CardPileCmd 内部调用定位；动作的 pile transition 仍不够结构化。 || random_or_choose: 随机/三选一结果不是确定 transition；模型能看到但缺分布式结果 profile。 || whole_hand_state: 可从 PileType.Hand + Upgrade/Transform/Exhaust/EnergyCost 等内部访问定位；仍需显式 hand-state transition。
CARD.WHISTLE,吹哨,colorless,Ancient,Attack,AnyEnemy,3,covered,damage|exhaust_self,damage|exhaust_self,,,Exhaust,damage|exhaust_self,"{""damage"": 33}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""whistle"", ""class_name"": ""Whistle"", ""commands"": [""Attack""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""DamageVar""], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Whistle.cs"", ""tags"": [""attack"", ""damage"", ""exhaust"", ""single_target""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","造成33点伤害。
击晕该敌人。
消耗。","[{""upgrade"": 1, ""description"": ""造成44点伤害。\n击晕该敌人。\n消耗。"", ""semanticTags"": [""damage"", ""exhaust_self""], ""semanticSignals"": {""damage"": 44}}]",
CARD.APOTHEOSIS,神化,colorless,Ancient,Skill,Self,2,gap,cost_modify|effect_profile_granularity_gap|exhaust_self|upgrade_card,exhaust_self,cost_modify|upgrade_card,effect_profile_granularity_gap,Exhaust|Innate,exhaust_self|innate|upgrade_all,{},"{""adds_keyword_or_modifier"": false, ""catalog_id"": ""apotheosis"", ""class_name"": ""Apotheosis"", ""commands"": [""Upgrade""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [], ""powers"": [], ""sets_energy_cost"": true, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Apotheosis.cs"", ""tags"": [""exhaust"", ""innate"", ""self_target"", ""skill"", ""upgrade_card""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","固有。
升级你的全部卡牌。
消耗。","[{""upgrade"": 1, ""description"": ""固有。\n升级你的全部卡牌。\n消耗。"", ""semanticTags"": [""exhaust_self"", ""innate"", ""upgrade_all""], ""semanticSignals"": {}}]",cost_modify: EnergyCost.Set*/FreeAttackPower/CorruptionPower 等内部 ID 可定位；仍需目标范围、持续时间、后续可打价值 typed 化。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || upgrade_card: 已有 upgrade_card tag / CardCmd.Upgrade 内部命令；缺 zone/scope/filter/selection 等结构参数。
CARD.APPARITION,灵体,colorless,Ancient,Skill,Self,1,gap,buff_stats|card_modifier_or_enchantment|effect_profile_granularity_gap|ethereal|exhaust_self|global_rule_power,buff_stats|ethereal|exhaust_self,card_modifier_or_enchantment|global_rule_power,effect_profile_granularity_gap,Ethereal|Exhaust,ethereal|exhaust_self|gain_intangible,"{""intangibleGain"": 1}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""apparition"", ""class_name"": ""Apparition"", ""commands"": [""Apply""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""PowerVar""], ""powers"": [""IntangiblePower""], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Apparition.cs"", ""tags"": [""ethereal"", ""exhaust"", ""self_target"", ""skill""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","虚无。
获得1层无实体。
消耗。","[{""upgrade"": 1, ""description"": ""获得1层无实体。\n消耗。"", ""semanticTags"": [""exhaust_self"", ""gain_intangible""], ""semanticSignals"": {""intangibleGain"": 1}}]",card_modifier_or_enchantment: 已有 runtime 附魔/腐化/重放解析；但“给另一张牌添加附魔”的预效果仍需 typed 化。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || global_rule_power: 腐化/黑暗之拥/怀旧等会改写未来规则；可见但最好变成 rule-transition token。
CARD.BRIGHTEST_FLAME,至亮之焰,colorless,Ancient,Skill,Self,0,covered,draw|energy_gain|heal_or_max_hp|hp_or_self_cost,draw|energy_gain|heal_or_max_hp|hp_or_self_cost,,,,draw|gain_energy|hp_loss,"{""draw"": 2, ""energyGain"": 2, ""hpLoss"": 1}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""brightest_flame"", ""class_name"": ""BrightestFlame"", ""commands"": [""Draw"", ""GainEnergy""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""CardsVar"", ""DynamicVar"", ""EnergyVar"", ""MaxHpVar""], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/BrightestFlame.cs"", ""tags"": [""draw"", ""energy_gen"", ""max_hp_change"", ""self_target"", ""skill""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","获得2点能量。
抽2张牌。
失去1点最大生命。","[{""upgrade"": 1, ""description"": ""获得3点能量。\n抽3张牌。\n失去1点最大生命。"", ""semanticTags"": [""draw"", ""gain_energy"", ""hp_loss""], ""semanticSignals"": {""draw"": 3, ""energyGain"": 3, ""hpLoss"": 1}}]",
CARD.RELAX,放松,colorless,Ancient,Skill,Self,3,partial,block|draw|energy_gain|exhaust_self|global_rule_power|turn_or_delayed_rule,block|draw|energy_gain|exhaust_self,global_rule_power|turn_or_delayed_rule,,Exhaust,block|draw|exhaust_self|gain_energy,"{""block"": 15, ""draw"": 2, ""energyGain"": 2}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""relax"", ""class_name"": ""Relax"", ""commands"": [""Apply""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""BlockVar"", ""CardsVar"", ""DynamicVar"", ""EnergyVar""], ""powers"": [""DrawCardsNextTurnPower"", ""EnergyNextTurnPower""], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Relax.cs"", ""tags"": [""block"", ""draw"", ""energy_gen"", ""exhaust"", ""self_target"", ""skill""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","获得15点格挡。
下个回合，抽2张牌并获得2点能量。
消耗。","[{""upgrade"": 1, ""description"": ""获得17点格挡。\n下个回合，抽3张牌并获得3点能量。\n消耗。"", ""semanticTags"": [""block"", ""draw"", ""exhaust_self"", ""gain_energy""], ""semanticSignals"": {""block"": 17, ""draw"": 3, ""energyGain"": 3}}]",global_rule_power: 腐化/黑暗之拥/怀旧等会改写未来规则；可见但最好变成 rule-transition token。 || turn_or_delayed_rule: 本回合/下回合/每当/回合开始类规则可见但还不是统一 temporal rule token。
CARD.WISH,许愿,colorless,Ancient,Skill,Self,0,gap,add_or_generate_card|card_modifier_or_enchantment|draw|effect_profile_granularity_gap|exhaust_other_or_hand|exhaust_self|pile_fetch_reorder|retain|whole_hand_state,draw|exhaust_self|retain,add_or_generate_card|card_modifier_or_enchantment|exhaust_other_or_hand|pile_fetch_reorder|whole_hand_state,effect_profile_granularity_gap,Exhaust,add_to_hand|exhaust_self,{},"{""adds_keyword_or_modifier"": true, ""catalog_id"": ""wish"", ""class_name"": ""Wish"", ""commands"": [""Add""], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/Wish.cs"", ""tags"": [""exhaust"", ""retain"", ""self_target"", ""skill""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": true, ""uses_exhaust_pile"": false, ""uses_hand_pile"": true, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","将你抽牌堆中的一张牌放入你的手牌。
消耗。","[{""upgrade"": 1, ""description"": ""保留。\n将你抽牌堆中的一张牌放入你的手牌。\n消耗。"", ""semanticTags"": [""add_to_hand"", ""exhaust_self"", ""retain""], ""semanticSignals"": {}}]",add_or_generate_card: 生成牌/加手牌可由 AddGeneratedCardToCombat 等内部命令定位，但生成池、费用和本回合免费等还需要更强 typed profile。 || card_modifier_or_enchantment: 已有 runtime 附魔/腐化/重放解析；但“给另一张牌添加附魔”的预效果仍需 typed 化。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || exhaust_other_or_hand: CardCmd.Exhaust 内部命令可定位；但选择目标/全手牌/随机目标需要 typed hand transition。 || pile_fetch_reorder: 抽牌堆/弃牌堆/牌堆顶部信息可被注意力看到，也能从 PileType/CardPileCmd 内部调用定位；动作的 pile transition 仍不够结构化。 || whole_hand_state: 可从 PileType.Hand + Upgrade/Transform/Exhaust/EnergyCost 等内部访问定位；仍需显式 hand-state transition。
CARD.ASCENDERS_BANE,进阶之灾,colorless,Curse,Curse,None,,gap,card_modifier_or_enchantment|effect_profile_granularity_gap|ethereal|hard_rule_constraint_gap|status_or_curse_penalty_gap,ethereal,card_modifier_or_enchantment,effect_profile_granularity_gap|hard_rule_constraint_gap|status_or_curse_penalty_gap,Eternal|Ethereal|Unplayable,eternal|ethereal|unplayable,{},"{""adds_keyword_or_modifier"": false, ""catalog_id"": ""ascenders_bane"", ""class_name"": ""AscendersBane"", ""commands"": [], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/AscendersBane.cs"", ""tags"": [""curse"", ""ethereal"", ""unplayable""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","不能被打出。
虚无。
永恒。",[],card_modifier_or_enchantment: 已有 runtime 附魔/腐化/重放解析；但“给另一张牌添加附魔”的预效果仍需 typed 化。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || hard_rule_constraint_gap: 不能打出、必须优先、出牌数限制等硬规则缺 typed constraint token/metric。 || status_or_curse_penalty_gap: 灼伤/遗憾/虚空/普通/懒惰等抽到/回合末/出牌限制惩罚缺统一触发器 profile。
CARD.BAD_LUCK,霉运,colorless,Curse,Curse,None,,gap,card_modifier_or_enchantment|effect_profile_granularity_gap|hard_rule_constraint_gap|hp_or_self_cost|status_or_curse_penalty_gap|turn_or_delayed_rule,hp_or_self_cost,card_modifier_or_enchantment|turn_or_delayed_rule,effect_profile_granularity_gap|hard_rule_constraint_gap|status_or_curse_penalty_gap,Eternal|Unplayable,eternal|hp_loss|unplayable,"{""hpLoss"": 13}","{""adds_keyword_or_modifier"": false, ""catalog_id"": ""bad_luck"", ""class_name"": ""BadLuck"", ""commands"": [], ""creates_clone"": false, ""creates_specific_card"": false, ""dynamic_vars"": [""HpLossVar""], ""powers"": [], ""sets_energy_cost"": false, ""sets_replay"": false, ""source_available"": true, ""source_path"": ""src/Core/Models/Cards/BadLuck.cs"", ""tags"": [""curse"", ""hp_loss"", ""unplayable""], ""uses_card_select_from_hand"": false, ""uses_discard_pile"": false, ""uses_draw_pile"": false, ""uses_exhaust_pile"": false, ""uses_hand_pile"": false, ""uses_top_of_pile"": false, ""uses_upgrade_select_from_hand"": false}","不能被打出。
在你的回合结束时，如果这张牌在你的手牌中，则失去13点生命。
永恒。",[],card_modifier_or_enchantment: 已有 runtime 附魔/腐化/重放解析；但“给另一张牌添加附魔”的预效果仍需 typed 化。 || effect_profile_granularity_gap: 已有 upgrade_card/exhaust_other/transform_card/AddGeneratedCardToCombat 等粗粒度内部 ID，但缺 zone/scope/filter/duration/destination/modifier/count 参数；不能靠描述文本正则补主路径。 || hard_rule_constraint_gap: 不能打出、必须优先、出牌数限制等硬规则缺 typed constraint token/metric。 || status_or_curse_penalty_gap: 灼伤/遗憾/虚空/普通/懒惰等抽到/回合末/出牌限制惩罚缺统一触发器 profile。 || turn_or_delayed_rule: 本回合/下回合/每当/回合开始类规则可见但还不是统一 temporal rule token。
